id,season,city,match_type,player_of_match,team1,team2,winner,result_margin,target_runs,super_over
1,2007,Bangalore,League,BB McCullum,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,140,223,N
2,2007,Chandigarh,League,MEK Hussey,Punjab Kings,Chennai Super Kings,Chennai Super Kings,33,241,N
3,2007,Delhi,League,MF Maharoof,Delhi Capitals,Rajasthan Royals,Delhi Capitals,9,130,N
4,2007,Mumbai,League,MV Boucher,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,5,166,N
5,2007,Kolkata,League,DJ Hussey,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,5,111,N
6,2007,Jaipur,League,SR Watson,Rajasthan Royals,Punjab Kings,Rajasthan Royals,6,167,N
7,2007,Hyderabad,League,V Sehwag,Deccan Chargers,Delhi Capitals,Delhi Capitals,9,143,N
8,2007,Chennai,League,ML Hayden,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,6,209,N
9,2007,Hyderabad,League,YK Pathan,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,3,215,N
10,2007,Chandigarh,League,KC Sangakkara,Punjab Kings,Mumbai Indians,Punjab Kings,66,183,N
11,2007,Bangalore,League,SR Watson,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,7,136,N
12,2007,Chennai,League,JDP Oram,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,9,148,N
13,2007,Mumbai,League,AC Gilchrist,Mumbai Indians,Deccan Chargers,Deccan Chargers,10,155,N
14,2007,Chandigarh,League,SM Katich,Punjab Kings,Delhi Capitals,Punjab Kings,4,159,N
15,2007,Bangalore,League,MS Dhoni,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,13,179,N
16,2007,Kolkata,League,ST Jayasuriya,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,7,138,N
17,2007,Delhi,League,GD McGrath,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,10,192,N
18,2007,Hyderabad,League,SE Marsh,Deccan Chargers,Punjab Kings,Punjab Kings,7,165,N
19,2007,Jaipur,League,SA Asnodkar,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,45,197,N
20,2007,Chennai,League,V Sehwag,Chennai Super Kings,Delhi Capitals,Delhi Capitals,8,170,N
21,2007,Chandigarh,League,IK Pathan,Punjab Kings,Kolkata Knight Riders,Punjab Kings,9,179,N
22,2007,Bangalore,League,P Kumar,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,3,157,N
23,2007,Mumbai,League,SM Pollock,Mumbai Indians,Delhi Capitals,Mumbai Indians,29,163,N
24,2007,Jaipur,League,Sohail Tanvir,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,8,110,N
25,2007,Bangalore,League,S Sreesanth,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,6,127,N
26,2007,Chennai,League,AC Gilchrist,Chennai Super Kings,Deccan Chargers,Deccan Chargers,7,145,N
27,2007,Mumbai,League,A Nehra,Mumbai Indians,Rajasthan Royals,Mumbai Indians,7,104,N
28,2007,Delhi,League,MS Dhoni,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,4,188,N
29,2007,Kolkata,League,SC Ganguly,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,5,130,N
30,2007,Jaipur,League,YK Pathan,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,8,141,N
31,2007,Chennai,League,L Balaji,Chennai Super Kings,Punjab Kings,Chennai Super Kings,18,182,N
32,2007,Hyderabad,League,SC Ganguly,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,23,205,N
33,2007,Jaipur,League,SR Watson,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,3,157,N
34,2007,Chandigarh,League,SE Marsh,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,9,144,N
35,2007,Kolkata,League,Shoaib Akhtar,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,23,134,N
36,2007,Mumbai,League,ST Jayasuriya,Mumbai Indians,Chennai Super Kings,Mumbai Indians,9,157,N
37,2007,Delhi,League,A Mishra,Delhi Capitals,Deccan Chargers,Delhi Capitals,12,195,N
38,2007,Mumbai,League,SM Pollock,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,8,68,N
39,2007,Delhi,League,DPMD Jayawardene,Delhi Capitals,Punjab Kings,Punjab Kings,6,89,N
40,2007,Jaipur,League,GC Smith,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,65,198,N
41,2007,Hyderabad,League,DJ Bravo,Deccan Chargers,Mumbai Indians,Mumbai Indians,25,179,N
42,2007,Kolkata,League,M Ntini,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,3,53,N
43,2007,Bangalore,League,SP Goswami,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,5,155,N
44,2007,Kolkata,League,YK Pathan,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,6,148,N
45,2007,Mumbai,League,SE Marsh,Mumbai Indians,Punjab Kings,Punjab Kings,1,190,N
46,2007,Chennai,League,A Kumble,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,14,127,N
47,2007,Chandigarh,League,SE Marsh,Punjab Kings,Deccan Chargers,Punjab Kings,6,176,N
48,2007,Delhi,League,KD Karthik,Delhi Capitals,Mumbai Indians,Delhi Capitals,5,177,N
49,2007,Chennai,League,JA Morkel,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,10,212,N
50,2007,Hyderabad,League,R Vinay Kumar,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,5,166,N
51,2007,Kolkata,League,Umar Gul,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,3,175,N
52,2007,Jaipur,League,Sohail Tanvir,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,5,146,N
53,2007,Hyderabad,League,SK Raina,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,7,148,N
54,2007,Bangalore,League,CRD Fernando,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,9,123,N
55,2007,Chandigarh,League,SE Marsh,Punjab Kings,Rajasthan Royals,Punjab Kings,41,222,N
56,2007,Mumbai,Semi Final,SR Watson,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,105,193,N
57,2007,Mumbai,Semi Final,M Ntini,Chennai Super Kings,Punjab Kings,Chennai Super Kings,9,113,N
58,2007,Mumbai,Final,YK Pathan,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,3,164,N
59,2009,Cape Town,League,SR Tendulkar,Chennai Super Kings,Mumbai Indians,Mumbai Indians,19,166,N
60,2009,Cape Town,League,R Dravid,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,75,134,N
61,2009,Cape Town,League,DL Vettori,Delhi Capitals,Punjab Kings,Delhi Capitals,10,54,N
62,2009,Cape Town,League,RP Singh,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,8,102,N
63,2009,Port Elizabeth,League,M Muralitharan,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,92,180,N
64,2009,Durban,League,CH Gayle,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,11,69,N
65,2009,Cape Town,League,AC Gilchrist,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,24,185,N
66,2009,Durban,League,AB de Villiers,Chennai Super Kings,Delhi Capitals,Delhi Capitals,9,190,N
67,2009,Durban,League,RS Bopara,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,7,169,N
68,2009,Durban,League,PP Ojha,Deccan Chargers,Mumbai Indians,Deccan Chargers,12,169,N
69,2009,Port Elizabeth,League,TM Dilshan,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,6,150,N
70,2009,Cape Town,League,KC Sangakkara,Punjab Kings,Rajasthan Royals,Punjab Kings,27,140,N
71,2009,Durban,League,HH Gibbs,Chennai Super Kings,Deccan Chargers,Deccan Chargers,6,166,N
72,2009,Port Elizabeth,League,SR Tendulkar,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,92,188,N
73,2009,Centurion,League,YK Pathan,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,5,144,N
74,2009,Durban,League,MV Boucher,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,5,140,N
75,2009,Durban,League,KC Sangakkara,Punjab Kings,Mumbai Indians,Punjab Kings,3,120,N
